reset 
clear 
plot 2 with lines 
set size ratio 0.500000 
set nokey 
set xrange [-1:43] 
set yrange [-1:21] 
set cbrange [-1.000000:101.000000] 
set palette defined (-1 "#0000FF", 101 "#FF0000") 
plot "-" using 2:1:3 with image 
0 0 100.000000 
0 1 0.000000 
0 2 0.000000 
0 3 0.000000 
0 4 0.000000 
0 5 0.000000 
0 6 0.000000 
0 7 0.000000 
0 8 0.000000 
0 9 0.000000 
0 10 0.000000 
0 11 0.000000 
0 12 0.000000 
0 13 0.000000 
0 14 0.000000 
0 15 0.000000 
0 16 0.000000 
0 17 0.000000 
0 18 0.000000 
0 19 0.000000 
0 20 0.000000 
0 21 0.000000 
0 22 0.000000 
0 23 0.000000 
0 24 0.000000 
0 25 0.000000 
0 26 0.000000 
0 27 0.000000 
0 28 0.000000 
0 29 0.000000 
0 30 0.000000 
0 31 0.000000 
0 32 0.000000 
0 33 0.000000 
0 34 0.000000 
0 35 0.000000 
0 36 0.000000 
0 37 0.000000 
0 38 0.000000 
0 39 0.000000 
0 40 0.000000 
0 41 0.000000 
0 42 0.000000 
1 0 100.000000 
1 1 0.000000 
1 2 0.000000 
1 3 0.000000 
1 4 0.000000 
1 5 0.000000 
1 6 0.000000 
1 7 0.000000 
1 8 0.000000 
1 9 0.000000 
1 10 0.000000 
1 11 0.000000 
1 12 0.000000 
1 13 0.000000 
1 14 0.000000 
1 15 0.000000 
1 16 0.000000 
1 17 0.000000 
1 18 0.000000 
1 19 0.000000 
1 20 0.000000 
1 21 0.000000 
1 22 0.000000 
1 23 0.000000 
1 24 0.000000 
1 25 0.000000 
1 26 0.000000 
1 27 0.000000 
1 28 0.000000 
1 29 0.000000 
1 30 0.000000 
1 31 0.000000 
1 32 0.000000 
1 33 0.000000 
1 34 0.000000 
1 35 0.000000 
1 36 0.000000 
1 37 0.000000 
1 38 0.000000 
1 39 0.000000 
1 40 0.000000 
1 41 0.000000 
1 42 0.000000 
2 0 100.000000 
2 1 0.000000 
2 2 0.000000 
2 3 0.000000 
2 4 0.000000 
2 5 0.000000 
2 6 0.000000 
2 7 0.000000 
2 8 0.000000 
2 9 0.000000 
2 10 0.000000 
2 11 0.000000 
2 12 0.000000 
2 13 0.000000 
2 14 0.000000 
2 15 0.000000 
2 16 0.000000 
2 17 0.000000 
2 18 0.000000 
2 19 0.000000 
2 20 0.000000 
2 21 0.000000 
2 22 0.000000 
2 23 0.000000 
2 24 0.000000 
2 25 0.000000 
2 26 0.000000 
2 27 0.000000 
2 28 0.000000 
2 29 0.000000 
2 30 0.000000 
2 31 0.000000 
2 32 0.000000 
2 33 0.000000 
2 34 0.000000 
2 35 0.000000 
2 36 0.000000 
2 37 0.000000 
2 38 0.000000 
2 39 0.000000 
2 40 0.000000 
2 41 0.000000 
2 42 0.000000 
3 0 100.000000 
3 1 0.000000 
3 2 0.000000 
3 3 0.000000 
3 4 0.000000 
3 5 0.000000 
3 6 0.000000 
3 7 0.000000 
3 8 0.000000 
3 9 0.000000 
3 10 0.000000 
3 11 0.000000 
3 12 0.000000 
3 13 0.000000 
3 14 0.000000 
3 15 0.000000 
3 16 0.000000 
3 17 0.000000 
3 18 0.000000 
3 19 0.000000 
3 20 0.000000 
3 21 0.000000 
3 22 0.000000 
3 23 0.000000 
3 24 0.000000 
3 25 0.000000 
3 26 0.000000 
3 27 0.000000 
3 28 0.000000 
3 29 0.000000 
3 30 0.000000 
3 31 0.000000 
3 32 0.000000 
3 33 0.000000 
3 34 0.000000 
3 35 0.000000 
3 36 0.000000 
3 37 0.000000 
3 38 0.000000 
3 39 0.000000 
3 40 0.000000 
3 41 0.000000 
3 42 0.000000 
4 0 100.000000 
4 1 0.000000 
4 2 0.000000 
4 3 0.000000 
4 4 0.000000 
